sample_ID,minADE_k,minFDE_k,b-minFDE_k
10004,0.1298918279596848,0.10559836647276,0.5906221294987032
10069,0.1631672636179466,0.0123374852802034,0.4279932349820959
10090,0.1208091336695348,0.1226711478156168,0.5836779643213402
10259,0.0888532054190984,0.1279547461738349,0.6121807870968798
10447,0.1591033424771803,0.1080500932705634,0.5476122928214023
10572,0.1579756872255932,0.0711307250320608,0.6117464771558219
10579,0.1596830423279375,0.0657685919239109,0.5511449637488596
10599,0.1365681625402007,0.0737447200643084,0.4272647284692816
10632,0.1140979656357304,0.0915576938167571,0.6601097340571163
10642,0.1680276141705814,0.1521300882911626,0.5715993927861758
10655,0.0802606270721136,0.0364769310717726,0.4808495134947612
10765,0.0576376385963529,0.0993179124451203,0.5332969364897102
10813,0.0729805148261658,0.097516147796097,0.569312401578787
10823,0.1414849248562863,0.1376626300445096,0.5809065977564869
10910,0.166788786186376,0.1200232686081415,0.631228873990814
11083,0.0737573591035227,0.0398431334097231,0.4687568709525344
11130,0.1050000064738745,0.1018629504646663,0.5530518929124355
11154,0.1432597219590426,0.0216780822988743,0.5308712173581142
11224,0.117274112335657,0.1022266709139029,0.5058810937465625
11287,0.1706299603236936,0.1445504993025155,0.610631873331563
11313,0.0713891757411426,0.0889439240513903,0.6055029760194808
11321,0.1524765711794391,0.1048358939648994,0.512838615447395
11335,0.1746825839739891,0.1294301418023934,0.6259787465889892
11381,0.1702757484256687,0.0684878104553197,0.5442876478843128
11452,0.1066395146387461,0.0860581752196062,0.5848227948165391
11639,0.0551068714116884,0.1446057159102946,0.6249655936299684
11684,0.1082447603679393,0.1176915468356457,0.5123042395843088
11716,0.1493879694740082,0.1353039037251388,0.5574128666926288
11903,0.1469734543573495,0.1439226513331552,0.4995595758134591
12145,0.1332065842217699,0.0621917144105495,0.5509805607997588
12251,0.1599501577667572,0.1109157182778865,0.585510486142181
12424,0.1603086647820471,0.1503091461666578,0.6448950669645511
12482,0.0634314751026593,0.0287304515284345,0.5311434702981394
12565,0.1788075610697495,0.0185668979074536,0.4559085572743733
12620,0.0822608925892962,0.1207231900800038,0.562557791591775
1270,0.1033423872201084,0.1252920268137629,0.5987623091005625
12731,0.1292550224214607,0.0952629469478935,0.4883250571056367
12763,0.106402429067201,0.1039997749619977,0.5714600077809627
12831,0.069755606007963,0.0778459472898316,0.6304148670323139
12935,0.1165235016501447,0.1014907717943419,0.5693859059026806
12987,0.1308142046075448,0.0657993260161893,0.5036125341365494
13001,0.1560664367020454,0.0825142142338603,0.5927215931339294
13061,0.0399225853508735,0.1147295373368025,0.4918625167900616
13159,0.0828227021934368,0.098001446190984,0.5652690927358334
13197,0.1728779345470542,0.126249195192398,0.6049174494049314
13223,0.0851375730144679,0.1234264502291049,0.6249173252337872
13293,0.1336012112832881,0.1028502877468507,0.5488690755969331
13347,0.1320889003794455,0.1214686539377079,0.6731175627097306
13358,0.107457892497797,0.0802825690083039,0.5565928847177644
13385,0.0967788500301979,0.1301411183692743,0.5220429421204618
13569,0.1395245463844415,0.0458662000860842,0.667699880059653
13647,0.1236894391331132,0.102886850781464,0.5688172333006711
13670,0.1573400905440821,0.0867917624631099,0.5700887754380208
13684,0.128497147760741,0.0737753999677369,0.5399311533413225
13730,0.120600831321204,0.0654992975769721,0.5466341130270208
13785,0.1257627371616348,0.1346676587317486,0.6370183472582706
13834,0.1609312303726381,0.0695162159679606,0.5913849653798683
14041,0.1511402996615913,0.1192567843760058,0.5619674127126105
14068,0.167928576432943,0.1440581992975269,0.6039566027377387
14097,0.1753281228271828,0.0602977983316037,0.540115066704601
14249,0.1025521259221059,0.0990108385818155,0.6182790079876082
14352,0.0701737000935198,0.0251592017365583,0.5172589242624555
14353,0.1635301655599297,0.0350329773558414,0.4837606793837665
14464,0.1829882016773039,0.1416658373735485,0.5825961031971905
14509,0.1630182208740534,0.1250748339906752,0.648824392304669
14526,0.1061584238412142,0.1131385114850992,0.5347050932515861
14649,0.1819553546335003,0.1317418421351059,0.6138830656810369
14722,0.10892160938929,0.1028583422414005,0.5594872835352491
14837,0.1552619627501708,0.1508061474534732,0.6302009129474746
14921,0.1394161127612778,0.1157738335493288,0.4579084424298211
14940,0.1686666304693573,0.0893891666173813,0.4749443805600787
15208,0.1719879064376325,0.1317521395687328,0.4924732357718714
15286,0.1434065764276206,0.0992949086485662,0.5901200278565535
15403,0.0844608658166662,0.1458273258374476,0.6159790796920219
15437,0.1743724370058856,0.0924629435338724,0.5979584682063659
15439,0.1078196229512672,0.1445904894177551,0.5807232558490935
15571,0.1550209342128586,0.0725014023636825,0.5717725321101995
15732,0.1464370156831594,0.1096055500627451,0.6769735770314033
15795,0.0881056644065608,0.1020794996348787,0.5568301547643036
16066,0.1598242916086057,0.1405164746186292,0.6113478419866016
16128,0.0296779533807536,0.0618378569128425,0.5195163990044851
1613,0.1505763083982731,0.0507402279975868,0.5151021551206364
16164,0.0798511300135607,0.0401064083684598,0.4967050744177041
16186,0.1348350251151268,0.1515396334494997,0.6347753605964968
16192,0.1680324914139101,0.047899228584447,0.5353198335552092
16248,0.1064674170851692,0.0801110828607279,0.6137717229792231
16272,0.1440455094469905,0.1115507777600834,0.5725943586959763
16380,0.1080302595438156,0.0650970410288746,0.5995177358283199
16400,0.1602392831448351,0.1244472517650526,0.6163727826521533
16530,0.1650442848736475,0.0575391570744889,0.6349597230757023
16597,0.1197491632541262,0.131491462392414,0.6178326184329471
16737,0.0980117221157582,0.1345624756618065,0.6194647494079486
16751,0.0723993814599353,0.098159129978002,0.549517670358148
17015,0.0719120512292438,0.147968361112629,0.6586616343720824
17398,0.1301061091757643,0.052220037385515,0.6278534858162363
17447,0.1773864089585183,0.1082422593676246,0.5354786077309349
17552,0.1461844795799544,0.1144041273712854,0.6173589833290334
17784,0.1161578649694645,0.0384823907975685,0.525743578939027
1787,0.1538301314562766,0.1034661965498903,0.5104257844001582
179,0.1658982436479897,0.1516025038976293,0.5916442961966044
17930,0.1514561172389524,0.1411823142042332,0.5784681702237299
17962,0.1752836672465858,0.1520352138244236,0.6662382028324292
18410,0.1694727679535696,0.0435402934683621,0.51057038749741
18416,0.1216159486566909,0.0778607710941643,0.5664046365327151
18510,0.1855921094100418,0.0448568957803555,0.607805520143573
18539,0.0979224127017261,0.0814031063629183,0.644796417059114
18817,0.1074178964810136,0.0559232421087972,0.5012056629382489
18899,0.0731617536453272,0.0512720073000422,0.5113367937813373
18991,0.103023543523676,0.0243612927033923,0.4969801117924782
19083,0.1056273756904645,0.0312654298580726,0.657972951725476
19092,0.1090378778733174,0.1408752206768515,0.5786266135372856
19182,0.1300755174997915,0.0944601777616049,0.5855896682111557
19394,0.0540072738270554,0.0254323132175085,0.5202834747691686
19435,0.1238761624438382,0.129440719754931,0.6661188094472441
19498,0.1725421770086346,0.0516389176348858,0.5270521281543294
19521,0.1780427308686321,0.1162249306566124,0.6319043714850533
19708,0.0951045257544381,0.0766805807853939,0.5426588056081149
19870,0.1520745850381271,0.1419355851382695,0.6008879179589593
19903,0.1258898440555007,0.1373358048868263,0.5836626307357553
20002,0.089300422551573,0.1461921001996881,0.6062363165518843
20073,0.1011128345138874,0.0795105289816739,0.5506296750275745
20310,0.1319308205829596,0.0395671515247978,0.5540390091519857
20335,0.0987139490261359,0.1254895267501458,0.5652202061665061
20365,0.1675392833296937,0.0390939500011257,0.6469745512733943
20377,0.0995767717075739,0.0773139894789299,0.5505351202693286
20546,0.1506409214396826,0.1227117658680683,0.529943197708974
20845,0.1854356422780933,0.0891313544674728,0.6373821299000064
21078,0.1737986586111118,0.0200368054563067,0.4913871520407807
21109,0.1845353734199952,0.0589856573558096,0.5803071025110024
21492,0.1290999536590348,0.1506304640872789,0.626758104183561
21593,0.130767883923508,0.0873391186453517,0.5780950817078955
21654,0.150051364658438,0.0840522734237945,0.5391448963312255
21851,0.15699305433257,0.1079042280615388,0.5690017433271787
21881,0.1125012781628107,0.0690204093653632,0.499703357017104
2206,0.1642865992631554,0.1010452039997764,0.5873046875103557
22074,0.1490678114875703,0.1397073296687858,0.5598449764765683
22126,0.1323117844893484,0.0981980918696078,0.5907431090518285
22173,0.1501344540511775,0.0376982223788124,0.5135229361886381
22289,0.1707178621027157,0.0926343289860213,0.6256802228708573
22349,0.1346132828529255,0.1447453601999054,0.6191155765455356
22545,0.1591715553758762,0.1055578150501737,0.5617547300107454
2255,0.1827053290063732,0.0286375438256335,0.4546298862036647
22551,0.1327474222579816,0.141321456899337,0.6279565144976489
2271,0.1428274047557611,0.0922791257787166,0.5608780939687388
22905,0.1810373613538934,0.088302411492542,0.6070025377026536
22980,0.1330385082353036,0.1336974585483077,0.5462178336961533
23001,0.1019288599002871,0.0201636772327542,0.4712212847905535
23056,0.1620108359498355,0.0010073078753825,0.5349064609480405
23084,0.1100319104208847,0.0212974360933521,0.4936504961725397
23185,0.1712532260054603,0.0947523157889003,0.5829773709536274
23330,0.0880223408760757,0.0600633080578361,0.6085033708955779
23410,0.0965115034427519,0.045950398736826,0.6769404435349751
23470,0.1853255955180432,0.1165186231686166,0.6188708039614894
23551,0.1284618257300922,0.0546702513939176,0.6704900590065492
23865,0.1106138577375826,0.0890576174417804,0.587797040560868
23972,0.0890566175409624,0.0287743535827067,0.5297712409643476
23976,0.0777051255814436,0.0344042466817677,0.6090630696047992
24308,0.1850870606819107,0.0544500592885139,0.6384481131713248
24349,0.1543917273034405,0.1456969658075435,0.6224363744841112
2437,0.1659881170150594,0.0852291689696969,0.5514454834472473
24413,0.1718156738630344,0.094054051713404,0.6106015296249107
24432,0.1612256574160082,0.1229694053404688,0.5933330085297683
24516,0.1434299801668556,0.1265620283370641,0.6015133512845801
24776,0.1600301013896556,0.1399428366967197,0.5957717895035339
24778,0.0960891249259035,0.1278091066401598,0.6154901924382975
24787,0.1662010198092382,0.1006466165307903,0.5821989996110328
24808,0.1759127312297108,0.1077436914268703,0.612842930510098
24862,0.0613126010089115,0.0765644731073831,0.4556699339307785
24917,0.1758179938666624,0.1400873650887342,0.6105709092585662
25059,0.1851195342906759,0.0962621987654945,0.5571033513301121
25078,0.1503237140916703,0.1261020485482025,0.6511144164508805
25080,0.1405359233640706,0.057197289738076,0.6302592066722278
25160,0.1565325571518796,0.0804282122173373,0.5278948060205778
25328,0.180045537321751,0.1488050192483385,0.6490274671912124
25352,0.1850871058949411,0.0856824247498628,0.5333506907680248
25449,0.0792747013134349,0.0558049991579216,0.5075767350683781
25461,0.1300991538684686,0.1447846214379755,0.604527787395713
25502,0.0853837313249334,0.1304673280518886,0.4790330766836997
25572,0.1281273377579947,0.0917841441340444,0.5462348053065129
2561,0.1439501935289124,0.1430341630422203,0.5834830249476577
25630,0.1474691820935089,0.0977852769586199,0.5666298116746269
25684,0.1108527036425399,0.1256178883250038,0.6059033164887584
25930,0.1532005917247913,0.0334867628790966,0.6204568175789649
25943,0.1582082658827807,0.1181806497552888,0.643683201477913
26228,0.1768212471532282,0.12396035480054,0.5960195407099395
26845,0.1414889945547688,0.1221888211765788,0.6586565153074831
26862,0.1368142773175197,0.1260102674060816,0.4938828312498054
26874,0.1220187350607196,0.0803467633399943,0.4527277421765367
26998,0.1073543556926715,0.1122886203759006,0.6638533646086797
27139,0.1575786885848157,0.0758321145700289,0.4988042152426067
27462,0.1260934530754083,0.0375963665397416,0.6507491865953331
27503,0.1337404633594751,0.040206315765989,0.5796470550670183
27615,0.1340222199922816,0.1161670270963138,0.5913767463312986
27698,0.1397889236141236,0.110033394973374,0.6336640431757183
27981,0.1248171579168853,0.1009159920493258,0.6306314710158755
28205,0.1430197186242743,0.0434304534053764,0.5850395928210823
28223,0.1551992484452983,0.1305464230578077,0.5853893835305317
28301,0.1288855971320573,0.080443162296794,0.553222412991566
28405,0.1698699664070569,0.0366668542548576,0.5083312530766194
2843,0.1820485493363702,0.0804278733700958,0.5752261636853702
28444,0.1494030890826362,0.0792287573721497,0.5406023313193562
28561,0.1407503335543783,0.1342835735090753,0.6189204267727304
28678,0.1117690621784077,0.1514808512115142,0.5982457580697854
28751,0.0790635902515292,0.126229027092399,0.5605541843309937
28790,0.1743676668752809,0.0948043426359615,0.6246514246886714
28851,0.1071784164421627,0.1174023651067543,0.5710104153765581
29186,0.1462154214540038,0.0657177305224003,0.6569491393765658
29228,0.1443317935849308,0.1393386303289758,0.6771669793480803
29229,0.0791460738853402,0.030772146664959,0.3652747505367342
29384,0.1066393817284319,0.02144560899704,0.4965563724995464
29609,0.1783387161200015,0.0299185410483025,0.5168994934706699
29896,0.1387806242866393,0.1387451036643751,0.5993384422602102
29983,0.1595242339599586,0.1125391963851848,0.648742666018053
29984,0.0955049149020047,0.0753712898724176,0.5451901591418373
30022,0.1258009506417343,0.0980709641889512,0.5510308369134157
30299,0.1254712854207697,0.0710489307038346,0.5767013554292577
30383,0.171702101515757,0.0788577264717674,0.5109250837041875
30461,0.1186004869073711,0.1205644036574398,0.6048280709574418
30485,0.1710260587058712,0.0809702578378114,0.5958399367818507
30805,0.1431472592285,0.0867908554687823,0.658115997321501
310,0.1441432851372202,0.0573809255520082,0.5552103666775119
31059,0.1659744042737486,0.1331928758197208,0.6264274834627888
31199,0.153589940846812,0.0331773426647098,0.513161669556643
31275,0.1144402288664068,0.0661518043021974,0.5634263532259878
31440,0.1590752072450441,0.080014012440466,0.6186594548685391
31625,0.1726993876857276,0.1470163255892566,0.6610943168708806
31758,0.157499733703271,0.0795687121935541,0.6613444506294339
31801,0.1284642278697273,0.060482392729459,0.544523844721807
31941,0.1775570986636152,0.1459103014084536,0.6403335884604715
32042,0.0528099652122394,0.1060375337744249,0.5880049389664919
32125,0.098238826042497,0.059916794033139,0.5643307403954835
32196,0.1097666834898933,0.0980264505380954,0.442971283019096
32248,0.1778899770643811,0.053082768764308,0.4848915011673584
32398,0.166590071534403,0.0813736804002792,0.5697701037479062
3247,0.1349992102277002,0.114183586550869,0.5752185357267898
32636,0.1176002843228389,0.1517787448817479,0.6161166438898245
32647,0.1660723005137233,0.1311293117074914,0.5386618705846993
3267,0.183267382662854,0.0967577381343147,0.5792264328603492
32818,0.1378986506106479,0.0884127753927577,0.6092270259091883
32949,0.1297863780391506,0.0418305995326245,0.5540099279712292
33049,0.1298224398560532,0.056161967635917,0.549839961847376
33114,0.1081818015990753,0.0386614623172278,0.6438990271302676
33264,0.1454607000773514,0.0170670265851471,0.4550738203287393
33282,0.0855430688775189,0.0519849585067491,0.4014480922389794
3331,0.1399136032075931,0.0848073060632059,0.5610630707658353
3332,0.0881886850212242,0.0368956336173894,0.551807560410441
33386,0.1575892560892011,0.1051211188042701,0.6737587253578847
33548,0.1851285902835348,0.0964541196149349,0.5538603289589449
33559,0.1056375711377844,0.1278055717553213,0.6131452671483526
33585,0.1436993202830434,0.099509061285645,0.6301804269654802
34015,0.14216405796601,0.0338455079143826,0.5124960872909212
3403,0.1520759337090452,0.1251069130244311,0.6589436468367929
34081,0.0677428164289333,0.064614065173057,0.5871873826459686
34321,0.1839973458002352,0.0535553610259444,0.5770119960903114
34456,0.1404514265558063,0.0175024792920139,0.463032157965434
34505,0.1540910903648306,0.0578649526895106,0.4927597834421726
34518,0.1280006514072545,0.1261175771873882,0.6074199499239303
34522,0.1846810813582674,0.1231090227555841,0.5901536488274894
34606,0.1387718388745991,0.1260780038391247,0.6659574968431055
34628,0.1417755217609481,0.0269324556569442,0.5280402819439569
3466,0.1240983291297721,0.1381235888775947,0.5488205228493442
34745,0.1040185359155419,0.1048504624996909,0.6118378507211919
34892,0.1444908290719645,0.1349257588054468,0.5401060557213497
34982,0.1382196494375445,0.1238029362426474,0.6182642833877136
35136,0.157115413831827,0.0828600325689799,0.5565624732023274
35251,0.1684883486432669,0.0746446630963573,0.5713305997184929
35274,0.1266444214974204,0.132216887053681,0.5718676364618682
35475,0.0774972948081762,0.1030657309307139,0.562575766949298
35667,0.161202356486863,0.1515239198855325,0.6312201911602751
35771,0.0993703025302619,0.1003231647140562,0.5324112948157377
35994,0.1488840935831727,0.0639954385190493,0.5056414550336837
36061,0.1571148803375812,0.1116145086024982,0.5586847208473473
36072,0.0779648426322681,0.0727228601668656,0.5552239132866639
36078,0.1854072772488058,0.1284539872961466,0.5719264072293166
36304,0.1110637275316078,0.0519904215245119,0.4731582504743066
3655,0.1414653770446156,0.0435063700496811,0.4987540643358843
36778,0.0897304649114303,0.0480701172670802,0.4280543791927511
36805,0.0715834685507942,0.0918602021414852,0.6010380170428088
36904,0.1860148302832494,0.0474458504014755,0.5280511040250805
36999,0.127611693204804,0.1147141269148516,0.6024801645311753
37134,0.0791221985283082,0.0292013889013889,0.5732374981045093
3721,0.1637512369611159,0.0368918515367303,0.5038298661683858
37398,0.160935396212694,0.0124638081935292,0.4656017587735686
37759,0.0773768223273107,0.1274567474708543,0.6439518115895486
37807,0.1210865261846899,0.1200726507843259,0.6275972431660698
37862,0.0777678648769705,0.02612000955924,0.453435470561681
37914,0.1105783194809844,0.0296009567435316,0.4818440401207387
38240,0.1600299599467335,0.1405058864249258,0.5963866036705868
38284,0.11884644486733,0.0490804344612939,0.4859221592304779
38312,0.075990290311406,0.0401624040590176,0.4730353236404762
38410,0.0968007474681943,0.1332280894621722,0.6548720831707079
38474,0.1303660617443813,0.0868011613576241,0.610217684949296
38688,0.1011552851774757,0.0435769283701315,0.4248830102883246
38698,0.0892669929867916,0.0912743392972007,0.6234272429608514
3874,0.1485464499801113,0.0907916599370631,0.5310351859604854
38802,0.0741112107494022,0.0299479003035842,0.5675777151161827
39068,0.1418463432114229,0.1301629223738327,0.609851419253077
39080,0.1028829733020804,0.0949382755250937,0.4771220190656904
39178,0.1703500150806988,0.1489129223886574,0.6296564258422552
39187,0.1779041596494956,0.0562724151469529,0.6621550719121059
39287,0.1177889518636097,0.1500165595805897,0.6235675097378985
39317,0.1241891683948717,0.1451551922658079,0.6407259590808043
39507,0.1637052042002488,0.0732241869852475,0.4991481538548432
39559,0.1151290733737698,0.1465068291499781,0.6415320770744075
39658,0.1420965009361951,0.14626845783406,0.5621213604263361
39780,0.1496629578087967,0.077515197851706,0.6155273384883563
39873,0.1367057981397454,0.0839506596520175,0.5474266938527532
40012,0.0874362126322633,0.147495852284278,0.6184600524883599
40178,0.1078938504497002,0.0509051668271575,0.4032841607082236
40435,0.0970629514250264,0.0606228173022827,0.524369168919957
4044,0.1404398580337418,0.0984754472912349,0.6180945800253683
40448,0.1302356299496002,0.0407662871202235,0.5343066715436677
40453,0.1231499310442719,0.1428292021547507,0.6327648503309665
40497,0.0873665508018778,0.1354867825020402,0.6096222702081161
40741,0.1340137059470549,0.1006172149415818,0.5595376608630724
40816,0.1083007825545276,0.0648804965863031,0.5809061673644442
40861,0.1530575770299626,0.1237974061960134,0.5845435876197975
40905,0.0669138032351771,0.0931133914957497,0.5592185868766845
40919,0.1438740417102209,0.1076525262429541,0.5138037882240816
