sample_ID,minADE_k,minFDE_k,MR_k,b-minFDE_k
1,0.33112818669139565,0.63923435804727,0.0,1.0958622226962489
10,2.284236563713274,4.585354769340245,1.0,5.214608969706728
100,0.31987144515415267,0.7266353132192979,0.0,1.3412898005338039
1000,0.38149671371794547,0.5441204511307678,0.0,1.1441326133925847
10000,0.24155475667189946,0.7383556493621991,0.0,1.7383482288698082
100000,0.39308440728011956,0.9731111047061378,0.0,1.7000387609646372
100001,0.19829542533964306,0.3116869340511875,0.0,0.9112718845906435
100002,0.33829942073053515,0.13352259980803494,0.0,0.6996078248143411
100003,0.4636307737287054,0.03432781829840204,0.0,0.511300790892507
100004,0.3899065319361949,0.20560257829314632,0.0,0.8213861730908599
100005,0.5313462544185253,1.5573081205306731,0.0,1.921083155520602
100006,0.7684290504415887,0.862633802414824,0.0,1.357518865981302
100007,0.3597833550068511,0.5358210167238499,0.0,1.1336336404715466
100008,0.29869119045304754,0.373702490196463,0.0,0.9010752614860624
100009,0.9703748707970825,1.3296427130547592,0.0,2.047031467567487
10001,0.4540250666380684,0.9098686641392877,0.0,1.4565130438441973
100010,0.39731286710553704,0.6979590798310286,0.0,1.2168624441693248
100011,0.46898363221000655,0.549714117058426,0.0,1.1776911634717084
100012,0.41084835828208427,0.5757941306242956,0.0,1.0821502243563765
100013,0.7619202477794975,1.114116366773673,0.0,1.5259561798519976
100014,0.3057928559554904,0.8676010432605039,0.0,1.302845161198566
100015,0.5116429354571093,0.6587154187091007,0.0,1.3237958574403725
100016,0.24203939639175825,0.47360227398608407,0.0,0.9920381886662619
100017,0.1127474711709499,0.12643650576668494,0.0,0.6375970512714986
100018,0.48795427343419717,0.8931517034559414,0.0,1.4454907782477369
100019,0.3776063244395546,0.6661291234452273,0.0,1.1871957535174995
10002,0.6041327945274994,0.6483232738995585,0.0,1.0256657034553558
100020,0.44467085110683297,0.3568288186827704,0.0,1.3568273846152832
100021,0.5569652641544774,0.7467752576157705,0.0,1.2405902589099331
100022,1.4383497654593425,1.5025283292383644,0.0,2.0005862929733094
100023,1.2395469311082512,1.0015770880710173,0.0,1.5257069827356258
100024,0.19147895513340266,0.19982795685297985,0.0,0.6938231696551681
100025,0.5725360330239628,0.2779495951552493,0.0,0.7597813387345331
100026,0.5155114819580208,0.3033657085726825,0.0,0.7410604460335468
100027,0.3259090410911283,0.22628798151481358,0.0,0.7236397801720645
100028,1.396190037309876,0.8621413617984817,0.0,1.848931051194329
100029,0.9846854698566125,0.41634416433071436,0.0,0.9708198207380156
10003,0.5454818780639142,0.5929006820749102,0.0,1.1063510079682528
100030,0.4176391452502129,0.49948231133071136,0.0,0.9471832560602154
100031,0.8164419838246972,0.6662168066008138,0.0,1.1672928124914266
100032,0.20197547478530312,0.3468122922950108,0.0,1.143553408480177
100033,0.46780423352534767,0.9756627819816674,0.0,1.56009637249038
100034,0.1941957202173271,0.28125747069768975,0.0,0.9087819806545394
100035,0.26685016622599583,0.209117289715576,0.0,0.7025738351153601
100036,2.7129977813470654,5.000209771301351,1.0,5.994854141704066
100037,0.20376134978476787,0.06785476308919484,0.0,0.9078080778157189
100039,1.2010965223820285,0.9048421335271285,0.0,1.665647314023982
10004,1.0175421629750545,2.9447272321032285,1.0,3.8355261787103716
100040,0.31948477831948124,0.49528527427420405,0.0,0.997748118227874
100041,0.5686203885843267,0.6946423724449613,0.0,1.2016849767869273
100042,0.22201571246967228,1.144800425282258,0.0,1.7919026756642438
100043,0.6553255805380265,1.1439073489946348,0.0,1.679138495779903
100044,0.1039459296168173,0.12178965182420405,0.0,0.5688387665477281
100045,0.3346071118878687,0.4164391195282227,0.0,0.9617909434738441
100046,0.6882421335909892,0.773818356340492,0.0,1.5072620926201807
100047,0.9770896907740295,0.6503611918587279,0.0,1.2306938046166869
100048,0.3903188720392025,0.8280553074569624,0.0,1.4257747557781826
100049,1.426886613682465,1.553643819105108,0.0,2.158305188912437
10005,0.4462341602721024,1.1805447794895727,0.0,2.1003956586091075
100050,0.51822754543594,2.2166443894495766,1.0,3.0411904631126947
100051,0.681263899630153,0.2853137390481928,0.0,1.162921620514621
100052,0.40181602558318447,0.737151122916883,0.0,1.4427577031660808
100053,0.593778669379816,0.13152483121777386,0.0,0.576638184348067
100054,0.6872893912302407,1.5142105425033807,0.0,2.283259656988353
100055,0.9236329107242551,1.6740417958395926,0.0,2.5434316995056054
