sample_ID,minADE_k,minFDE_k,b-minFDE_k
000bcc7d-7d21-4146-9dce-099fc5bf397f,2.601209612647318,6.913648566530649,7.689101290567235
001426de-215b-406a-9899-42c7175fee65,2.490422901931074,5.683784102820546,6.683784102621748
0027b1d0-130d-448a-b268-7146cb641147,2.0159505386522563,4.227362104901749,5.201956025334559
00391f55-7dc9-4d8d-92ef-28999a8e02ce,1.9242047495542285,4.586672715051294,5.360692861829129
003bd10e-8b91-4eb2-a021-42ece3a55095,2.652872841298698,8.602650834194444,9.31719672267806
003f00b0-4471-45e2-a52f-0e678d612877,2.6186362189553543,6.470602372559105,7.46429886760969
0056da65-81d9-49d1-b04c-7aea0940e760,2.098739647664291,4.547412293105632,5.170792829266784
005c8157-7114-4ed0-ab4f-044121aacc7b,2.0563918558565706,4.403716348363282,4.937674915159902
008a4a99-1460-4657-a709-07f90eb6d99f,2.942678906494111,6.633030222749186,7.614924995583298
00999e8e-7dbf-4505-8dc9-ad7c1ac6e169,3.228119385873069,12.194615940648044,13.194614781170728
00b1c081-0d88-410e-800e-ed4156d99ccf,2.8478853571645897,13.708360691939069,14.325435615596518
00bb835d-d924-41f8-8e8c-9f64c1f7a0e7,2.361504332711738,9.483262349909944,10.415651761623902
00bfaf80-a6a4-41e3-9d10-57245422e915,2.959467497710312,12.942480732952026,13.942479813289363
00ca52d0-3b3a-4d1c-8881-91804572e114,2.314449845530225,4.20073017362106,4.55919415007226
00ce1ea2-e686-4c0d-80bb-bbc4143ab52e,4.888464834774143,13.213972248406112,13.895429273629432
00d485ed-e46d-436b-96a3-09de47fd126f,1.963273907484948,3.732213659702445,4.732166042765867
00d691fe-bdf9-44c4-8353-c7294abb663a,4.243583922430206,8.838884878232115,9.470450566933923
00eba31c-b362-4988-b1c7-fcbc7b848513,3.0223655172151287,4.899173985857165,5.50315280963032
00f223dd-5087-45e9-bd48-a365f3a489bd,1.9045388916309507,6.416085532985176,7.23177660163761
